url;name;price;image;available;category
http://pepbar.ru/haygetropin;Хайгетропин;690.0;http://pepbar.ru/image/cache/data/Tovar/hygetropin-500x500.jpg;0;Модель: Hygetropin Наличие: Нет в наличии
http://pepbar.ru/ipamorelin;Ipamorelin (5mg);700.0;http://pepbar.ru/image/cache/data/Tovar/ipamorelin-500x500.jpg;1;Модель: ipamorelin Наличие: Есть в наличии
http://pepbar.ru/dmma;Экстракт герани (1,3-диметиламиламин - DMAA);300.0;http://pepbar.ru/image/cache/data/Tovar/ur7I5-ZP-qc-500x500.jpg;1;Модель: 10 таб. Наличие: Есть в наличии
http://pepbar.ru/black-mamba;Black Mamba;3190.0;http://pepbar.ru/image/cache/data/Tovar/post-23362-1352887505-500x500.jpg;1;Модель: BlackMamba Наличие: Есть в наличии
http://pepbar.ru/ansomone;Ансомон;7500.0;http://pepbar.ru/image/cache/data/Tovar/1383402667_ansomone-700x700-500x500.jpg;1;Модель: 10 флаконов по 10 ед Наличие: Есть в наличии
http://pepbar.ru/oxyelite-pro;OxyELITE Pro;2450.0;http://pepbar.ru/image/cache/data/Tovar/USP_oxy_elite_pro-500x500.jpg;0;Модель: USPlabs Наличие: Нет в наличии
http://pepbar.ru/jack3d;Jack3d;2500.0;http://pepbar.ru/image/cache/data/Tovar/джек 3д-500x500.jpg;1;Модель: USPlabs Наличие: Есть в наличии
http://pepbar.ru/klenbuterol;Кленбутерол 100 таб.;600.0;http://pepbar.ru/image/cache/data/Tovar/clenbuterol-500x500-500x500.jpg;0;Модель: Кленбутерол Наличие: Нет в наличии
http://pepbar.ru/hexarelin;Hexarelin (5mg);1100.0;http://pepbar.ru/image/cache/data/Tovar/hexarelin-500x500.jpg;0;Модель: Hexarelin Наличие: Нет в наличии
http://pepbar.ru/kigtropin;Кигтропин;550.0;http://pepbar.ru/image/cache/data/Tovar/kigtopin1-500x500.jpg;0;Модель: Kigtropin Наличие: Нет в наличии
http://pepbar.ru/hgh-frag-176-191;HGH frag176-191 (5mg);850.0;http://pepbar.ru/image/cache/data/Tovar/HGH176-191-5-500x500.jpg;1;Модель: HGH-frag-176-191-5mg Наличие: Есть в наличии
http://pepbar.ru/melanotan-2;Меланотан 2 (10mg);800.0;http://pepbar.ru/image/cache/data/Tovar/Melanotan2-500x500.jpg;1;Модель: Melanotan-2 Наличие: Есть в наличии
http://pepbar.ru/dsip;DSIP (1mg);350.0;http://pepbar.ru/image/cache/data/Tovar/DSIP-500x500.jpg;1;Модель: DSIP Наличие: Есть в наличии
http://pepbar.ru/viagra;Виагра;120.0;http://pepbar.ru/image/cache/data/Tovar/05-240x240-500x500.JPG;0;Модель: Viagra Наличие: Нет в наличии
http://pepbar.ru/mgf;MGF (2mg);350.0;http://pepbar.ru/image/cache/data/Tovar/mgf-500x500.jpg;0;Модель: MGF Наличие: Нет в наличии
http://pepbar.ru/jintropin;Джинтропин реплика;4900.0;http://pepbar.ru/image/cache/data/Tovar/jintropin-500x500.jpg;0;Модель: 10 флаконов по 10 ед Наличие: В наличии
http://pepbar.ru/ginseng-kianpi-pil;GINSENG KIANPI PIL;1200.0;http://pepbar.ru/image/cache/data/Tovar/3AJuROILPsg-500x500.jpg;1;Модель: GINSENG-KIANPI-PIL Наличие: Есть в наличии
http://pepbar.ru/gonadorelin;Gonadorelin (2mg);400.0;http://pepbar.ru/image/cache/data/Tovar/Gonadorelin-500x500.jpg;1;Модель: Gonadorelin Наличие: Есть в наличии
http://pepbar.ru/cialis;Сиалис;120.0;http://pepbar.ru/image/cache/data/Tovar/sialis-dzhenerik-1-tabletka-20-mg-075a3e-500x500.png;0;Модель: Cialis Наличие: Нет в наличии
http://pepbar.ru/azia_black;Asia Black;2600.0;http://pepbar.ru/image/cache/data/Tovar/азия-500x500.jpg;1;Модель: 100 кап. Наличие: Есть в наличии
http://pepbar.ru/сhina_white;China White;2500.0;http://pepbar.ru/image/cache/data/Tovar/54-500x500.jpg;1;Модель: 100 таб Наличие: Есть в наличии
